data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7812626,104,MMR14768,14768,9-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Yangon,Yangon-West,Hlaing,Hlaing,16.8479,96.1252,2,Democratic Voice of Burma,National,"On 9 April 2021, in Hlaing township (Yangon-West District, Yangon Region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. [size=no report]",0,1618436417,MMR
7812638,104,MMR14812,14812,9-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Shan-North,Muse,Kutkai,Kutkai,23.4579,97.938,1,Democratic Voice of Burma,National,"On 9 April 2021, in Kutkai town (Kutkai Township, Muse District, Shan State), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. [size=no report]",0,1618436418,MMR
7812644,104,MMR14781,14781,9-Apr-21,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),,1,Civilians (Myanmar),Kayin Ethnic Group (Myanmar),7,17,Southeast Asia,Myanmar,Kayin,Hpapun,Hpapun,Hpapun,18.065,97.4449,2,Democratic Voice of Burma,National,"On 9 April 2021, in Hpapun township (Hpapun District, Kayin State), the Myanmar military LB-405 fired an artillery shell at a Kayin ethnic village. Four civilians were injured.",0,1618336752,MMR
7812650,104,MMR14974,14974,9-Apr-21,2021,1,Protests,Protest with intervention,Protesters (Myanmar),,6,Military Forces of Myanmar (2021-),Police Forces of Myanmar (2021-),1,16,Southeast Asia,Myanmar,Yangon,Yangon-East,Tamwe,Tamwe,16.8102,96.1765,2,Democratic Voice of Burma,National,"On 9 April 2021, in Tamwe township (Yangon-East District, Yangon Region), locals protested against the Myanmar military coup and in support of the civil disobedience movement. At least eight youth protesters were arrested by military and police forces during the protest. 12 military and police vehicles with armed soldiers and police officers were reportedly deployed for the crackdown. [size=no report]",0,1618436418,MMR
7814501,104,MMR14868,14868,9-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),ABFSU: All Burma Federation of Student Unions; Students (Myanmar); Buddhist Group (Myanmar); Teachers (Myanmar),6,,,0,60,Southeast Asia,Myanmar,Mandalay,Mandalay,,Mandalay,21.9747,96.0836,2,Democratic Voice of Burma; Myanmar Pressphoto Agency,National,"On 9 April 2021, in Mandalay City (Mandalay Region), the ABFSU, teachers and Buddhist monks protested against the Myanmar military coup and in support of the civil disobedience movement. [size=no report]",0,1618442039,MMR
7812539,104,MMR14777,14777,9-Apr-21,2021,1,Protests,Protest with intervention,Protesters (Myanmar),Civilians (Myanmar); Journalists (Myanmar),6,Military Forces of Myanmar (2021-),,1,16,Southeast Asia,Myanmar,Kachin,Mohnyin,Hpakant,Hpakant,25.6138,96.3148,1,Democratic Voice of Burma; Radio Free Asia,National-Regional,"On 9 April 2021, in Hpakant town (Hpakant township, Mohnyin district, Kachin state), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. A freelance journalist was arrested by military soldiers from the 33rd Light Infantry Brigade while reporting the protest. [size=no report]",0,1618336752,MMR
7812547,104,MMR14846,14846,9-Apr-21,2021,1,Protests,Excessive force against protesters,Protesters (Myanmar),,6,Military Forces of Myanmar (2021-),Police Forces of Myanmar (2021-),1,16,Southeast Asia,Myanmar,Kayah,Loikaw,Loikaw,Loikaw,19.6742,97.2099,1,AP; Irrawaddy,National-International,"On 9 April 2021, in Loikaw town (Loikaw township, Loikaw district, Kayah state), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. Security forces (assumed to be military and police forces) intervened and fired live rounds at protesters. Two people were reportedly injured. [size=no report]",0,1618336752,MMR
7812554,104,MMR14915,14915,9-Apr-21,2021,1,Protests,Protest with intervention,Protesters (Myanmar),Students (Myanmar),6,Military Forces of Myanmar (2021-),Police Forces of Myanmar (2021-),1,16,Southeast Asia,Myanmar,Kachin,Myitkyina,Myitkyina,Myitkyina,25.3832,97.3963,1,Democratic Voice of Burma; Kachin News Group,Subnational-National,"On 9 April 2021, in Myitkyina town (Myitkyina township, Myitkyina District, Kachin State), locals including students held a protest against the Myanmar military coup and in support of the civil disobedience movement. Police intervened and arrested two student protesters. [size=no report]",0,1618336752,MMR
7812814,104,MMR14739,14739,9-Apr-21,2021,1,Riots,Violent demonstration,Rioters (Myanmar),,5,Military Forces of Myanmar (2021-),Police Forces of Myanmar (2021-),1,15,Southeast Asia,Myanmar,Bago-East,Bago,Bago,Bago,17.3352,96.4813,1,Radio Free Asia,Regional,"On 9 April 2021, in Bago town (Bago Township, Bago District, Bago Region), locals held a demonstration against the Myanmar military coup and in support of the civil disobedience movement. Military and police forces intervened to clear barricades built by demonstrators, firing rifle grenades and machine guns until late in the night. It was reported that security forces took away bodies of demonstrators, which were piled up in pagodas and on school grounds. They also denied medical assistance to those who were injured, leaving them to bleed to death. RFA reported that more than 60 people were killed - including 57 bodies that had been taken away by security forces. AAPP later reported an updated figure that at least 82 people were killed (fatalities coded as 82 using the most updated fatality estimate). [size=no report]",82,1618436423,MMR
7812834,104,MMR14906,14906,9-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Shan-North,Muse,Muse,Muse,23.9933,97.9103,1,Shwe Phee Myay News Agency,Subnational,"On 9 April 2021, in Muse town (Muse Township, Muse District, Shan State), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. They also symbolically burned Chinese flags during the protest. [size=no report]",0,1618436423,MMR
