event_date,event_type,sub_event_type,actor1,actor2,location,latitude,longitude,notes,fatalities
9-Apr-21,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Hpapun,18.065,97.4449,"On 9 April 2021, in Hpapun township (Hpapun District, Kayin State), the Myanmar military LB-405 fired an artillery shell at a Kayin ethnic village. Four civilians were injured.",0
9-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Tamwe,16.8102,96.1765,"On 9 April 2021, in Tamwe township (Yangon-East District, Yangon Region), locals protested against the Myanmar military coup and in support of the civil disobedience movement. At least eight youth protesters were arrested by military and police forces during the protest. 12 military and police vehicles with armed soldiers and police officers were reportedly deployed for the crackdown. [size=no report]",0
9-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Hpakant,25.6138,96.3148,"On 9 April 2021, in Hpakant town (Hpakant township, Mohnyin district, Kachin state), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. A freelance journalist was arrested by military soldiers from the 33rd Light Infantry Brigade while reporting the protest. [size=no report]",0
9-Apr-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Loikaw,19.6742,97.2099,"On 9 April 2021, in Loikaw town (Loikaw township, Loikaw district, Kayah state), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. Security forces (assumed to be military and police forces) intervened and fired live rounds at protesters. Two people were reportedly injured. [size=no report]",0
9-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Myitkyina,25.3832,97.3963,"On 9 April 2021, in Myitkyina town (Myitkyina township, Myitkyina District, Kachin State), locals including students held a protest against the Myanmar military coup and in support of the civil disobedience movement. Police intervened and arrested two student protesters. [size=no report]",0
9-Apr-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Bago,17.3352,96.4813,"On 9 April 2021, in Bago town (Bago Township, Bago District, Bago Region), locals held a demonstration against the Myanmar military coup and in support of the civil disobedience movement. Military and police forces intervened to clear barricades built by demonstrators, firing rifle grenades and machine guns until late in the night. It was reported that security forces took away bodies of demonstrators, which were piled up in pagodas and on school grounds. They also denied medical assistance to those who were injured, leaving them to bleed to death. RFA reported that more than 60 people were killed - including 57 bodies that had been taken away by security forces. AAPP later reported an updated figure that at least 82 people were killed (fatalities coded as 82 using the most updated fatality estimate). [size=no report]",82
8-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Mogoke,22.9176,96.5098,"On 8 April 2021, in Mogoke town (Mogoke Township, Pyin Oo Lwin District, Mandalay Region), separating in different protest columns, hundreds of locals held protests against the Myanmar military coup and in support of the civil disobedience movement. [size=hundreds]",0
8-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),San Pa Li,25.3408,96.9249,"On 8 April 2021, in San Pa Li village, Mogaung township (Mohnyin district, Kachin State), a military vehicle that came from the direction of Tanai stopped at the village and began conducting inspections, ordering villagers to stop for inspections. Military forces began firing at villagers who fled. They reportedly also fired another 15 shots in the village. One villager was shot in the head and taken to the hospital with serious injuries.",0
8-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Nam Jin,25.472,97.3556,"On 8 April 2021, in Nam Jin village (Myitkyina Township, Myitkyina District, Kachin State), the Myanmar military hit a Lisu ethnic couple with a gun and interrogated about two landmine explosion happened near a monastery in the village on the same day.",0
8-Apr-21,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Hpapun,18.065,97.4449,"On 8 April 2021, Hpapun township (Hpapun District, Kayin State), the Paw Khay Kho-based Myanmar military LIB-20 fired twelve artillery shells into Yeh Mu Plaw, Tae Boe Plaw and Saw Mu Plaw villages. The shelling killed a 60-year-old villager.",1
8-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Kyaukpadaung,20.8425,95.1322,"On 8 April 2021, in Kyaukpadaung town, Kyaukpadaung township (Nyaung-U district, Mandalay Region), military and police forces entered San Pya ward and shot and killed a man who tried to escape from the security forces. He was reportedly shot twice - in the calf and then in the back as he was running away. His body was then taken away by soldiers onto a military truck. His family was later informed by security forces to go to the local crematorium that same evening when his body would be cremated. It was reported that he had been an active in the anti-coup protests in the area.",1
8-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Lanmadaw,16.7795,96.142,"On 8 April 2021, in Lanmadaw Township (Yangon-West District, Yangon Region), locals held a night protest against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military arrested and beat 9 protesters. [size=no report]",0
8-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Police Forces of Myanmar (2021-),Hpakant,25.6138,96.3148,"On 8 April 2021, in Hpakant town (Hpakant Township, Mohnyin District, Kachin State), separating in different protest columns, locals held protests against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar police arrested 7 people at the Aye Mya Thayar protest column's gathering point. [size=no report]",0
7-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Myingyan,21.46,95.3884,"On 7 April 2021, in Myingyan (Myingyan Township, Mandalay Region), military and police forces shot and injured one man while they opened fire in a neighbourhood.",0
7-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Nyaungshwe,20.6595,96.932,"On 7 April 2021, in Nyaungshwe (Nyaungshwe Township, Shan State), a young man was killed and at least 10 others were injured when security forces opened fire on unarmed civilians.",1
7-Apr-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Bago,17.3352,96.4813,"On 7 April 2021, in Bago town (Bago township, Bago District, Bago Region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military and police intervened and fired gunshots. AAPP and VOA reported that two protesters were killed. [size=no report]",2
7-Apr-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Kale,23.1568,94.1222,"On 7 April 2021, in Kale town (Kale Township, Kale District, Sagaing Region), locals held a demonstration against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military and police violently dispersed demonstrators with gunshots, including heavy weaponry and grenades. Some demonstrators also fought back and fired shots using hunting rifles. AAPP reported that 12 people were killed, while RFA reported that about 11 people died (fatality coded as 12 using the most recent fatality estimate). 15 wounded and about 18 demonstrators were also arrested. [size=no report]",12
7-Apr-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Taze,22.944,95.3736,"On 7 April 2021, in Taze town (Taze Township, Shwebo District, Sagaing Region), locals held a demonstration against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military and police intervened and fired live rounds to disperse demonstrators. Demonstrators fought back with homemade guns. VOA reported that two military soldiers were killed. AAPP reported that 12 demonstrators were killed, while VOA reported that 11 demonstrators were killed. Fatalities coded as 14 (12 demonstrators, 2 soldiers), using the most recent fatality estimate. [size=no report]",14
6-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Kyaukme,22.5392,97.0343,"On 6 April 2021, in Kyaukme town (Kyaukme Township, Kyaukme District, Shan State), more than 400 people, as well as another group on more than 40 motorcycles, protested against the Myanmar military coup and in support of the civil disobedience movement. Military and police forces intervened and fired tear gas to disperse the crowd. [size=more than 440]",0
6-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Mogaung,25.3054,96.9354,"On 6 April 2021, in Mogaung (Mogaung Township, Kachin State), security forces shot inside a funeral home and one man was shot dead and one man was injured.",1
6-Apr-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Chanayethazan,21.9753,96.0946,"On 6 April 2021, in Chanayethazan town (Mandalay district, Mandalay Region), at dawn, medical students, health workers and their families held a protest against the military coup. Military and police forces used stun grenades and fired either live rounds or rubber bullets to disperse protesters. Security forces also reportedly used cars to run into protesters who were riding motorcycles. Between 2-4 health workers were arrested, while another person was shot in the arm. [size=no report]",0
6-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Nyaungshwe,20.6595,96.932,"On 6 April 2021, in Nyaungshwe town, Nyaungshwe township (Taunggyi District, Shan State), at night, military and police forces opened fire on residents in front of a restaurant. AAPP and RFA reportedly that a young man shot in the head and killed. Another person was shot in the arm and sustained serious injuries. Residents stated that up to 10 people were injured in the shooting.",1
5-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Mogaung,25.3054,96.9354,"On 5 April 2021, in Mogaung township (Mohnyin District, Kachin State), military and police forces shot at civilians. Two civilians - a woman and a man - were injured.",0
5-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Mogaung,25.3054,96.9354,"On 5 April 2021, in Mogaung township (Mohnyin District, Kachin State), locals gathered and held a pot-banging protest against Education Refresher Training organized by the SAC. The military and police arrived at the scene and dispersed protesters. Four protesters were arrested. [size=no report]",0
5-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Mogaung,25.3054,96.9354,"On 5 April 2021, in Mogaung township (Mohnyin District, Kachin State), more than 100 teachers and civil servants from Education Department held a protest against the Myanmar military coup and in support of the civil disobedience movement. The security forces (assumed to be the military and police) intervened to disperse protesters. However, no protester was arrested. [size=more than 100]",0
5-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Myitkyina,25.3832,97.3963,"On 5 April 2021, in Myitkyina town (Myitkyina Township, Myitkyina District, Kachin State), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. The security forces (assumed to be the military and police) intervened and dispersed protesters. However, protesters gathered again in a different location and continued the demonstration. [size=no report]",0
5-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Mahaaungmyay,21.9589,96.0912,"On 5 April 2021, around Sein Pan and Manaw Hary ward in Mahaaungmyay township (Mandalay district, Mandalay region), the security forces (assumed to be the military and police) came to remove the roadblocked put by residents. Afterwards, the security forces encountered residents and fired gunshots at civilians. Either a rubber or live bullet injured a civilian.",0
5-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Indaw,24.2225,96.1416,"On 5 April 2021, in Indaw town (Indaw Township, Katha District, Sagaing Region), teachers and civil servants from the education department reportedly held a protest march against the Myanmar military coup and in support of the civil disobedience movement. However, the security forces (assumed to be the military and police) blocked a gate to prevent protesters from marching. [size=no report]",0
5-Apr-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Pinlebu,24.0808,95.3702,"On 5 April 2021, in Pinlebu town (Pinlebu Township, Katha District, Sagaing Region), hundreds of locals held a protest march against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military intervened and fired shots. AAPP and Myanmar Now reported one protester was killed during the protest. [size=hundreds]",1
5-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Taunggyi,20.7892,97.0378,"Around 5 April 2021 (between 4 - 6 April), in Taunggyi town, Taunggyi township (Taunggyi district, Shan State), a man was reportedly beaten by security forces (assumed to be military and police) and died while in custody. He was first arrested by security forces on the night of 4 April as he was attempting to put out a fire that broke out at the Nyaung Pin Phyu Ward Administration Office. His family was later notified on 6 April to retrieve his body. His body was found to have been dissected.",1
5-Apr-21,Violence against civilians,Abduction/forced disappearance,Military Forces of Myanmar (2021-),Civilians (Myanmar),Lashio,22.9359,97.7498,"On 5 April 2021, in Lashio Township (Lashio District, Shan State), the Myanmar military detained two civilians from Pang Hkar and Pang Kyein village. The incident happened the day after the Myanmar military and KIA clashed near the Pang Hkar village.",0
4-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Kyaukme,22.5392,97.0343,"On 4 April 2021, in Kyaukme town (Kyaukme Township, Kyaukme District, Shan State), security forces (assumed to be Myanmar military and police) shot two pedestrians in a separate incident. Both of them - a man and a woman - were injured. They were shot at a location adjacent a location where ant-coup protesters would typically gather.",0
4-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Kyaukme,22.5392,97.0343,"On 4 April 2021, in Kyaukme town (Kyaukme Township, Kyaukme District, Shan State), hundreds of locals held a protest march against the Myanmar military coup and in support of the civil disobedience movement. The security forces (assumed to be the Myanmar military and police) dispersed protesters and arrested some protesters. Arrested protesters were released on bail after town elders negotiated with security forces. [size=hundreds]",0
4-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Tamwe,16.8102,96.1765,"On 4 April 2021, in Tamwe Township (Yangon-east District, Yangon Region), the Myanmar military beat and arrested an amateur photographer.",0
4-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Mandalay,21.9747,96.0836,"On 4 April 2021, in Mandalay city (Mandalay region), at night, a young man was beaten up by security forces (assumed to be the Myanmar military and police) on a road. Security forces forced him to take off his clothes and found a tattoo of Aung San Suu Kyi and Nwe Oo Revolution words on his arm. One soldier held him down while others burned his arm with a piece of tyre. They also hit his head with a gun and kicked his face and back.",0
4-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Bhamo,24.2525,97.2335,"On 4 April 2021, in Bhamo town (Bhamo Township, Bhamo District, Kachin State), Myanmar military and police forces conducted a raid on a residential area. A volunteer neighbourhood night watchman was shot and killed by security forces. Security forces took away his body and returned his body to his family later. About 10 others were reportedly arrested during the raid.",1
